Model,Strategy,Accuracy,Precision_macro,Recall_macro,F1_macro,F1_micro,F1_weighted,Weights,Time(s)
LGBM,none,0.7987,0.6074,0.47,0.506,0.7987,0.794,[10.          3.54545455  1.        ],2.48
XGB,none,0.8129,0.6285,0.4407,0.4728,0.8129,0.8019,[4.18181818 3.54545455 1.        ],1.09
CatBoost,none,0.7886,0.4809,0.4631,0.4711,0.7886,0.7826,[8.54545455 3.13636364 1.        ],0.89
RF,class_weight,0.7877,0.4654,0.4543,0.4595,0.7877,0.7855,[10.          3.95454545  1.        ],0.39
LGBM,class_weight,0.6997,0.4965,0.4649,0.4575,0.6997,0.7315,[2.  1.5 1. ],2.46
RF,none,0.789,0.4931,0.4291,0.4375,0.789,0.7896,[7.81818182 3.95454545 1.        ],0.41
RF,smote,0.793,0.4278,0.4246,0.4227,0.793,0.7782,[5.63636364 1.5        1.        ],1.02
LGBM,smote,0.7877,0.4319,0.413,0.4207,0.7877,0.7816,[7.09090909 2.31818182 1.        ],2.76
XGB,undersample,0.6944,0.403,0.4864,0.4193,0.6944,0.7255,[2.  1.5 1. ],0.8
LGBM,undersample,0.7013,0.3994,0.4605,0.4122,0.7013,0.7307,[4.90909091 1.5        1.        ],2.26
RF,undersample,0.724,0.4079,0.4194,0.4108,0.724,0.7415,[2.  1.5 1. ],0.16
XGB,smote,0.7756,0.4033,0.404,0.4036,0.7756,0.7753,[2.72727273 1.90909091 1.        ],1.67
CatBoost,class_weight,0.6445,0.4017,0.4615,0.4013,0.6445,0.6922,[2.  1.5 1. ],0.86
LogReg,none,0.7528,0.4107,0.3945,0.3999,0.7528,0.7558,[5.63636364 3.95454545 1.        ],2.43
CatBoost,undersample,0.6522,0.3828,0.438,0.3881,0.6522,0.6944,[2.  1.5 1. ],0.52
CatBoost,smote,0.7703,0.3871,0.3884,0.3863,0.7703,0.7686,[10.          1.90909091  1.        ],1.22
XGB,class_weight,0.5337,0.3939,0.5058,0.3647,0.5337,0.601,[2.  1.5 1. ],1.09
LogReg,smote,0.7634,0.3503,0.3518,0.3509,0.7634,0.7566,[2.         2.31818182 1.        ],7.89
LogReg,undersample,0.6011,0.3596,0.4147,0.3447,0.6011,0.663,[2.72727273 1.5        1.        ],0.17
LogReg,class_weight,0.336,0.3555,0.3966,0.2435,0.336,0.4122,[2.  1.5 1. ],3.53
